ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00455;Vegansk boller, sojabaseret;Tilberedte/konserverede fødevarer;Vegansk bolle, sojabaseret;Planteprodukter og -drikke;0,66
Ra00456;Veganske schnitzler, sojabaseret;Tilberedte/konserverede fødevarer;Vegansk schnitzel, sojabaseret;Planteprodukter og -drikke;1,87
Ra00457;Vegansk burgere, sojabaseret;Tilberedte/konserverede fødevarer;Vegansk burger, sojabaseret;Planteprodukter og -drikke;0,69
Ra00458;Vegansk fars, plantefars, ærtebaseret;Tilberedte/konserverede fødevarer;Vegansk fars, plantefars, ærtebaseret;Planteprodukter og -drikke;0,88
Ra00459;Veganske pølser, sojabaseret;Tilberedte/konserverede fødevarer;Vegansk pølse, sojabaseret;Planteprodukter og -drikke;1,43
Ra00460;Veganske nuggets, sojabaseret;Tilberedte/konserverede fødevarer;Vegansk nugget, sojabaseret;Planteprodukter og -drikke;1,95
Ra00461;Vegansk pulled beans;Tilberedte/konserverede fødevarer;Vegansk pulled beans;Planteprodukter og -drikke;1,89
Ra00462;Pulled pork;Kød/fjerkræ;Grisekød, pulled pork;Kød og fjerkræ;4,52
Ra00463;Pulled beef;Kød/fjerkræ;Oksekød, pulled beef;Kød og fjerkræ;56,34
Ra00464;Vegansk chorizo;Tilberedte/konserverede fødevarer;Vegansk chorizo;Planteprodukter og -drikke;1,68
Ra00465;Risnudler;Tilberedte/konserverede fødevarer;Risnudler;Korn og kornprodukter;4,93
Ra00466;Jalapenos;Frugt/grøntsagsprodukter;Jalapenos;Grøntsager og grøntsagsprodukter;1,51
Ra00467;Taco shells;Tilberedte/konserverede fødevarer;Taco shells;Korn og kornprodukter;2,37
Ra00468;Mango chutney;Krydderier/konserveringsmidler/ekstrakter;Mango chutney;Frugt og frugtprodukter;3,12
Ra00469;Grøn karrypasta;Krydderier/konserveringsmidler/ekstrakter;Grøn karrypasta;Smagsgivere og krydderier;2,06
Ra00470;Nudler, æg;Tilberedte/konserverede fødevarer;Nudler, æg;Korn og kornprodukter;1,74
Ra00471;Rispandekager;Korn-/gryn-/bælgfrugtprodukter;Rispandekager;Korn og kornprodukter;4,50
Ra00472;Vegansk is, havre;Tilberedte/konserverede fødevarer;Vegansk is, havre;Planteprodukter og -drikke;2,31
Ra00473;Vegansk mayo;Krydderier/konserveringsmidler/ekstrakter;Vegansk mayo;Smagsgivere og krydderier;2,67
Ra00474;Svampeburger;Tilberedte/konserverede fødevarer;Vegansk svampeburger;Planteprodukter og -drikke;1,34
